region,anos,mes,trigo,maiz_a_duro,maiz_amilaceo,arroz_cascara,cebada_grano,quinua,esparrago,alcachofa,aji,piquillo,pimiento,tomate,zapallo,arveja_verde,zanahoria,ajo,cebolla,maiz_choclo,palta,platano,mango,papaya,pina,granadilla,limon_sutil,naranja,mandarina,tangelo,uva,manzana,melocoton,tuna,aceituna,palma_aceitera,papa,yuca,camote,oca,olluco,cafe_pergamino,cacao,paprika,frijol_grano_seco,pallar_grano_seco,haba_seca,arveja_seca,cana_para_azucar,alfalfa,maiz_chala,cebada_forrajera,avena_forrajera,algodon_rama,oregano,arandano,allsky_sfc_sw_dwn,gwetroot,prectotcorr,ps,rh2m,t2m,t2m_max,t2m_min,ts,ws2m,amplitud_termica,riesgo_helada,estres_calor,vpd_kpa
Junin,2020,Octubre,6606.77,23627.09999999999,13693.15,1732.8,17126.48,4233.3,0.0,3293.6,1168.0,0.0,0.0,57.4,2399.3,26127.16,23703.0,4266.3,3146.8,92457.4,32298.33,172063.92,814.1499999999999,9268.698,361695.4,9454.8,2641.800000000001,254902.15,56100.10000000001,38492.85000000001,0.0,116.6,278.3000000000001,169.6,0.0,0.0,387851.959,85825.59999999999,0.0,3770.9,17852.07,78684.77200000001,25770.085,0.0,3752.429,0.0,3198.779,1527.9,0.0,111507.3,0.0,7521.799999999999,88685.8,0.0,46.07999999999999,0.0,17.8,0.56,0.74,90.93,55.05,27.07,36.59,19.57,27.01,0.28,17.02,0,1,1.609160993388277
Junin,2020,Noviembre,6606.77,24131.3,13693.15,1847.6,17126.48,4233.3,0.0,3534.6,1168.0,0.0,0.0,57.4,2460.5,27429.86,24421.0,4285.3,3409.7,92523.4,38202.73,190614.1200000001,1124.75,10616.448,393597.2,10324.95,2785.400000000001,277654.91,56786.18900000001,39866.92000000001,0.0,116.6,278.3000000000001,169.6,0.0,0.0,395382.959,100180.1,0.0,3770.9,17852.07,78684.77200000001,26748.37,0.0,3898.279,0.0,3198.779,1527.9,0.0,122093.35,0.0,7748.799999999999,89250.5,0.0,51.05999999999999,0.0,17.83,0.59,2.5,90.88,67.61,25.64,35.45,17.78,25.64,0.23,17.67,0,1,1.065779148341464
La Libertad,2020,Enero,0.0,1673.8,0.0,863.5,0.0,0.0,10683.3,0.0,277.15,0.0,0.0,786.0,1396.5,46.6,49.5,0.0,1988.5,207.2,656.1999999999999,921.829,1107.08,310.45,2829.5,256.6,26.69,64.44,0.0,0.0,7695.1,107.43,19.33,60.5,0.0,0.0,15520.7,1031.0,129.4,0.0,0.0,0.0,0.0,0.0,56.1,0.0,0.0,0.0,419785.476,15843.21,15581.0,0.0,414.4,0.0,0.0,10241.08,22.09,0.38,0.14,94.07,76.91,21.94,29.69,18.14,24.2,2.36,11.55,0,0,0.6082347610335961
La Libertad,2020,Febrero,0.0,3879.6,0.0,16873.5,0.0,10.0,24394.9,0.0,621.4,0.0,12.6,1496.0,2795.4,185.6,121.1,0.0,3828.0,414.2,2502.608999999999,2047.848,3776.51,715.72,5790.8,456.9,62.409,143.61,0.0,0.0,14979.6,298.929,45.53,131.37,0.0,0.0,50734.2,2314.8,400.6999999999999,0.0,0.0,0.0,1.139,0.0,86.3,0.0,0.0,0.0,890552.396,33480.37,32833.0,0.0,829.3,0.0,0.0,13648.48,21.08,0.38,0.15,94.04,79.93,22.39,28.6,19.04,24.64,2.29,9.560000000000002,0,0,0.5433647523483631
La Libertad,2020,Marzo,0.0,10911.5,111.0,53470.5,0.0,10.0,36772.15,0.0,1068.15,0.0,1110.6,1803.0,4242.2,540.6,1291.7,190.0,5847.6,902.2,15458.449,3142.768,3681.43,1113.95,8555.0,708.369,157.649,243.92,1948.47,0.0,19336.589,534.2090000000001,65.47,237.15,0.0,0.0,122451.7,3954.1,938.6,0.0,0.0,18.76,6.379,145.0,159.05,4.0,0.0,0.0,1153748.797,51618.39000000001,45621.0,0.0,1164.9,0.0,0.0,15760.8,21.86,0.38,0.14,94.08,77.13,22.48,28.89,18.43,24.36,2.1,10.46,0,0,0.622564949380509
La Libertad,2020,Abril,0.0,15959.5,125.0,164613.5,0.0,10.0,48638.55,0.0,1494.5,0.0,6660.6,2174.5,5526.4,634.9,3221.2,454.3,6871.3,1165.2,39665.579,4088.338,4327.23,1465.73,10724.5,944.369,207.209,456.76,2330.07,0.0,22949.589,643.2890000000001,71.97,384.5700000000001,0.0,0.0,200009.2,5238.700000000001,1132.0,12.0,42.0,60.06,20.119,154.5,86.3,6.0,0.0,0.0,1490703.269,68402.95000000001,59299.0,0.0,1486.8,0.0,0.0,18540.8,20.68,0.38,0.46,94.14,76.14,21.4,27.7,16.49,22.95,2.25,11.21,0,0,0.6081167520035273
La Libertad,2020,Mayo,0.0,15959.5,638.0,376295.5,5.4,10.0,58947.95,0.0,2162.9,0.0,10560.6,2414.9,8808.599999999999,1220.4,5256.5,954.0,8763.7,5453.2,84988.929,4964.538,4620.43,1966.13,12430.5,1229.769,250.929,776.7900000000001,2836.07,0.0,25690.089,729.2090000000001,80.97,501.6200000000001,70.0,0.0,293324.6,6155.700000000001,1503.6,289.0,485.0,108.389,29.419,202.0,772.55,6.0,10.8,0.0,1943245.279,83414.05000000002,70106.0,225.0,2298.9,0.0,0.0,18597.8,19.05,0.38,0.06,94.13,73.54,20.98,27.45,16.37,22.28,2.19,11.08,0,0,0.6572321194372321
La Libertad,2020,Junio,3177.0,29866.4,8983.2,382630.5,2785.4,387.8,58947.95,0.0,2565.25,0.0,10810.6,2888.65,10396.1,2050.4,5256.5,1341.8,11835.2,9189.6,170373.829,5739.527999999999,4649.43,2176.27,12820.3,1474.469,282.409,1145.42,2613.72,0.0,30373.6,787.0290000000001,90.25,672.0,168.0,0.0,406954.5,7557.9,2126.7,2396.1,3216.6,144.318,32.919,240.0,1938.67,6.0,10.8,0.0,2424317.036,100538.1,70106.0,525.0,4128.8,0.0,0.0,18597.8,18.6,0.38,0.02,94.14,75.78,18.64,27.05,13.78,19.83,2.39,13.27,0,0,0.5203554028121538
La Libertad,2020,Julio,24277.5,52334.0,20191.8,383783.5,27646.2,1067.55,84095.04999999999,0.0,2781.55,0.0,11060.6,3423.65,10782.5,3634.4,6873.499999999999,1487.8,12685.2,10133.6,187444.119,6460.828,4689.030000000001,2342.47,16169.5,1720.219,297.209,1468.87,6513.82,0.0,33004.5,822.5790000000001,90.25,797.1,388.0,0.0,433079.3,9943.4,2735.4,5358.2,7516.6,194.168,32.919,287.5,2646.02,6.0,4342.0,5365.4,2900605.462,118666.18,94884.0,750.0,13608.5,0.0,0.0,22462.04,18.52,0.43,1.68,94.08,75.17,18.19,25.28,13.66,19.02,2.18,11.62,0,0,0.5186261092631086
La Libertad,2020,Agosto,52956.4,77722.2,24193.2,384150.1,50697.52,1241.65,94372.44999999998,1914.0,3086.75,0.0,11060.6,3811.65,11022.5,3982.4,7055.499999999999,1557.8,13583.5,10639.6,193561.569,7272.477999999999,4735.830000000001,2655.47,17788.4,1977.919,323.479,1686.39,8056.42,0.0,35878.0,838.288,90.25,817.5,504.0,0.0,435274.3,11807.3,3095.4,5939.2,8836.2,214.418,32.919,363.5,2717.32,13.0,6141.1,8595.599999999999,3354403.641,136292.28,94884.0,1350.0,19832.0,0.0,0.0,31194.82,21.73,0.39,0.01,94.1,70.01,18.43,26.96,12.51,19.85,2.29,14.45,0,0,0.6359045010974862
